,NOC,Year,F,M,FP
0,ALG,1992,2.0,6.0,0.25
1,ALG,2006,2.0,1.0,0.6666666666666666
2,AND,1988,5.0,4.0,0.5555555555555556
3,AND,1992,3.0,11.0,0.21428571428571427
4,AND,1994,5.0,8.0,0.38461538461538464
5,AND,1998,2.0,5.0,0.2857142857142857
6,AND,2002,2.0,3.0,0.4
7,AND,2010,7.0,13.0,0.35
8,AND,2014,5.0,7.0,0.4166666666666667
9,ARG,1952,3.0,18.0,0.14285714285714285
10,ARG,1960,3.0,11.0,0.21428571428571427
11,ARG,1964,2.0,20.0,0.09090909090909091
12,ARG,1968,6.0,6.0,0.5
13,ARG,1984,9.0,28.0,0.24324324324324326
14,ARG,1988,19.0,26.0,0.4222222222222222
15,ARG,1992,16.0,30.0,0.34782608695652173
16,ARG,1994,13.0,7.0,0.65
17,ARG,1998,5.0,1.0,0.8333333333333334
18,ARG,2002,11.0,15.0,0.4230769230769231
19,ARG,2006,9.0,8.0,0.5294117647058824
20,ARG,2010,12.0,8.0,0.6
21,ARG,2014,9.0,11.0,0.45
22,ARM,1998,3.0,4.0,0.42857142857142855
23,ARM,2002,8.0,9.0,0.47058823529411764
24,ARM,2006,1.0,8.0,0.1111111111111111
25,ARM,2010,3.0,3.0,0.5
26,ARM,2014,1.0,5.0,0.16666666666666666
27,AUS,1952,2.0,17.0,0.10526315789473684
28,AUS,1956,3.0,14.0,0.17647058823529413
29,AUS,1960,6.0,32.0,0.15789473684210525
30,AUS,1964,6.0,8.0,0.42857142857142855
31,AUS,1976,7.0,12.0,0.3684210526315789
32,AUS,1980,7.0,12.0,0.3684210526315789
33,AUS,1984,2.0,18.0,0.1
34,AUS,1988,2.0,34.0,0.05555555555555555
35,AUS,1992,11.0,30.0,0.2682926829268293
36,AUS,1994,12.0,35.0,0.2553191489361702
37,AUS,1998,10.0,24.0,0.29411764705882354
38,AUS,2002,19.0,22.0,0.4634146341463415
39,AUS,2006,18.0,27.0,0.4
40,AUS,2010,23.0,26.0,0.46938775510204084
41,AUS,2014,43.0,41.0,0.5119047619047619
42,AUT,1924,2.0,2.0,0.5
43,AUT,1928,6.0,43.0,0.12244897959183673
44,AUT,1932,1.0,11.0,0.08333333333333333
45,AUT,1936,10.0,62.0,0.1388888888888889
46,AUT,1948,20.0,64.0,0.23809523809523808
47,AUT,1952,16.0,58.0,0.21621621621621623
48,AUT,1956,17.0,70.0,0.19540229885057472
49,AUT,1960,15.0,27.0,0.35714285714285715
50,AUT,1964,22.0,94.0,0.1896551724137931
51,AUT,1968,19.0,93.0,0.16964285714285715
52,AUT,1972,17.0,51.0,0.25
53,AUT,1976,24.0,92.0,0.20689655172413793
54,AUT,1980,16.0,50.0,0.24242424242424243
55,AUT,1984,13.0,92.0,0.12380952380952381
56,AUT,1988,36.0,117.0,0.23529411764705882
57,AUT,1992,25.0,96.0,0.2066115702479339
58,AUT,1994,28.0,102.0,0.2153846153846154
59,AUT,1998,39.0,115.0,0.2532467532467532
60,AUT,2002,32.0,116.0,0.21621621621621623
61,AUT,2006,33.0,99.0,0.25
62,AUT,2010,41.0,91.0,0.3106060606060606
63,AUT,2014,74.0,139.0,0.3474178403755869
64,AZE,1998,2.0,2.0,0.5
65,AZE,2002,1.0,3.0,0.25
66,AZE,2006,1.0,1.0,0.5
67,AZE,2010,2.0,2.0,0.5
68,AZE,2014,1.0,3.0,0.25
69,BEL,1924,1.0,31.0,0.03125
70,BEL,1928,1.0,25.0,0.038461538461538464
71,BEL,1932,1.0,4.0,0.2
72,BEL,1936,3.0,34.0,0.08108108108108109
73,BEL,1948,1.0,18.0,0.05263157894736842
74,BEL,1964,3.0,8.0,0.2727272727272727
75,BEL,1976,3.0,8.0,0.2727272727272727
76,BEL,1984,3.0,6.0,0.3333333333333333
77,BEL,1992,1.0,6.0,0.14285714285714285
78,BEL,1994,6.0,2.0,0.75
79,BEL,2010,4.0,6.0,0.4
80,BEL,2014,5.0,6.0,0.45454545454545453
81,BIH,1994,2.0,10.0,0.16666666666666666
82,BIH,1998,2.0,10.0,0.16666666666666666
83,BIH,2006,4.0,5.0,0.4444444444444444
84,BIH,2010,7.0,3.0,0.7
85,BIH,2014,5.0,9.0,0.35714285714285715
86,BLR,1994,31.0,43.0,0.4189189189189189
87,BLR,1998,39.0,68.0,0.3644859813084112
88,BLR,2002,47.0,76.0,0.3821138211382114
89,BLR,2006,42.0,28.0,0.6
90,BLR,2010,42.0,53.0,0.4421052631578947
91,BLR,2014,30.0,42.0,0.4166666666666667
92,BRA,1992,2.0,14.0,0.125
93,BRA,2002,2.0,8.0,0.2
94,BRA,2006,3.0,9.0,0.25
95,BRA,2010,4.0,3.0,0.5714285714285714
96,BRA,2014,10.0,7.0,0.5882352941176471
97,BUL,1956,1.0,14.0,0.06666666666666667
98,BUL,1960,3.0,12.0,0.2
99,BUL,1964,10.0,9.0,0.5263157894736842
100,BUL,1968,11.0,5.0,0.6875
101,BUL,1984,1.0,32.0,0.030303030303030304
102,BUL,1988,2.0,50.0,0.038461538461538464
103,BUL,1992,17.0,55.0,0.2361111111111111
104,BUL,1994,17.0,21.0,0.4473684210526316
105,BUL,1998,20.0,14.0,0.5882352941176471
106,BUL,2002,28.0,26.0,0.5185185185185185
107,BUL,2006,25.0,19.0,0.5681818181818182
108,BUL,2010,15.0,26.0,0.36585365853658536
109,BUL,2014,10.0,37.0,0.2127659574468085
110,CAN,1924,2.0,15.0,0.11764705882352941
111,CAN,1928,3.0,28.0,0.0967741935483871
112,CAN,1932,5.0,48.0,0.09433962264150944
113,CAN,1936,7.0,34.0,0.17073170731707318
114,CAN,1948,5.0,42.0,0.10638297872340426
115,CAN,1952,16.0,44.0,0.26666666666666666
116,CAN,1956,16.0,36.0,0.3076923076923077
117,CAN,1960,24.0,51.0,0.32
118,CAN,1964,26.0,69.0,0.2736842105263158
119,CAN,1968,30.0,81.0,0.2702702702702703
120,CAN,1972,34.0,51.0,0.4
121,CAN,1976,41.0,68.0,0.3761467889908257
122,CAN,1980,34.0,52.0,0.3953488372093023
123,CAN,1984,33.0,58.0,0.3626373626373626
124,CAN,1988,62.0,128.0,0.3263157894736842
125,CAN,1992,59.0,127.0,0.3172043010752688
126,CAN,1994,54.0,95.0,0.3624161073825503
127,CAN,1998,93.0,115.0,0.44711538461538464
128,CAN,2002,101.0,114.0,0.4697674418604651
129,CAN,2006,136.0,169.0,0.4459016393442623
130,CAN,2010,138.0,170.0,0.44805194805194803
131,CAN,2014,158.0,201.0,0.4401114206128134
132,CHI,1968,2.0,9.0,0.18181818181818182
133,CHI,2002,3.0,8.0,0.2727272727272727
134,CHI,2006,5.0,10.0,0.3333333333333333
135,CHI,2010,5.0,5.0,0.5
136,CHI,2014,6.0,8.0,0.42857142857142855
137,CHN,1980,16.0,22.0,0.42105263157894735
138,CHN,1984,31.0,39.0,0.44285714285714284
139,CHN,1988,8.0,7.0,0.5333333333333333
140,CHN,1992,47.0,27.0,0.6351351351351351
141,CHN,1994,31.0,12.0,0.7209302325581395
142,CHN,1998,61.0,27.0,0.6931818181818182
143,CHN,2002,73.0,35.0,0.6759259259259259
144,CHN,2006,81.0,65.0,0.5547945205479452
145,CHN,2010,83.0,44.0,0.6535433070866141
146,CHN,2014,66.0,43.0,0.6055045871559633
147,CRO,1992,1.0,7.0,0.125
148,CRO,1998,6.0,7.0,0.46153846153846156
149,CRO,2002,12.0,17.0,0.41379310344827586
150,CRO,2006,17.0,29.0,0.3695652173913043
151,CRO,2010,10.0,27.0,0.2702702702702703
152,CRO,2014,9.0,16.0,0.36
153,CYP,1980,2.0,4.0,0.3333333333333333
154,CYP,1984,2.0,8.0,0.2
155,CYP,1988,2.0,6.0,0.25
156,CYP,1992,2.0,9.0,0.18181818181818182
157,CYP,2010,2.0,2.0,0.5
158,CZE,1994,37.0,80.0,0.3162393162393162
159,CZE,1998,36.0,83.0,0.3025210084033613
160,CZE,2002,54.0,109.0,0.3312883435582822
161,CZE,2006,53.0,117.0,0.31176470588235294
162,CZE,2010,52.0,120.0,0.3023255813953488
163,CZE,2014,64.0,115.0,0.3575418994413408
164,DEN,1968,2.0,4.0,0.3333333333333333
165,DEN,1992,3.0,10.0,0.23076923076923078
166,DEN,1998,8.0,11.0,0.42105263157894735
167,DEN,2002,6.0,5.0,0.5454545454545454
168,DEN,2010,10.0,13.0,0.43478260869565216
169,DEN,2014,4.0,11.0,0.26666666666666666
170,ESP,1936,2.0,4.0,0.3333333333333333
171,ESP,1960,3.0,9.0,0.25
172,ESP,1972,3.0,4.0,0.42857142857142855
173,ESP,1980,4.0,11.0,0.26666666666666666
174,ESP,1984,4.0,21.0,0.16
175,ESP,1988,11.0,18.0,0.3793103448275862
176,ESP,1992,9.0,36.0,0.2
177,ESP,1994,10.0,23.0,0.30303030303030304
178,ESP,1998,6.0,18.0,0.25
179,ESP,2002,6.0,10.0,0.375
180,ESP,2006,16.0,12.0,0.5714285714285714
181,ESP,2010,15.0,20.0,0.42857142857142855
182,ESP,2014,11.0,28.0,0.28205128205128205
183,EST,1936,2.0,7.0,0.2222222222222222
184,EST,1992,14.0,37.0,0.27450980392156865
185,EST,1994,29.0,38.0,0.43283582089552236
186,EST,1998,13.0,35.0,0.2708333333333333
187,EST,2002,10.0,41.0,0.19607843137254902
188,EST,2006,24.0,39.0,0.38095238095238093
189,EST,2010,27.0,37.0,0.421875
190,EST,2014,20.0,46.0,0.30303030303030304
191,EUN,1992,81.0,133.0,0.37850467289719625
192,FIN,1924,1.0,32.0,0.030303030303030304
193,FIN,1928,1.0,26.0,0.037037037037037035
194,FIN,1952,5.0,68.0,0.0684931506849315
195,FIN,1956,7.0,45.0,0.1346153846153846
196,FIN,1960,15.0,59.0,0.20270270270270271
197,FIN,1964,19.0,68.0,0.21839080459770116
198,FIN,1968,23.0,72.0,0.24210526315789474
199,FIN,1972,18.0,65.0,0.21686746987951808
200,FIN,1976,21.0,58.0,0.26582278481012656
201,FIN,1980,18.0,67.0,0.21176470588235294
202,FIN,1984,16.0,64.0,0.2
203,FIN,1988,18.0,74.0,0.1956521739130435
204,FIN,1992,32.0,82.0,0.2807017543859649
205,FIN,1994,32.0,80.0,0.2857142857142857
206,FIN,1998,48.0,84.0,0.36363636363636365
207,FIN,2002,63.0,102.0,0.38181818181818183
208,FIN,2006,47.0,93.0,0.3357142857142857
209,FIN,2010,53.0,93.0,0.363013698630137
210,FIN,2014,52.0,95.0,0.35374149659863946
211,FRA,1924,3.0,65.0,0.04411764705882353
212,FRA,1928,3.0,44.0,0.06382978723404255
213,FRA,1932,1.0,7.0,0.125
214,FRA,1948,16.0,44.0,0.26666666666666666
215,FRA,1952,11.0,34.0,0.24444444444444444
216,FRA,1956,13.0,39.0,0.25
217,FRA,1960,18.0,37.0,0.32727272727272727
218,FRA,1964,17.0,33.0,0.34
219,FRA,1968,26.0,92.0,0.22033898305084745
220,FRA,1972,13.0,56.0,0.18840579710144928
221,FRA,1976,13.0,46.0,0.22033898305084745
222,FRA,1980,10.0,34.0,0.22727272727272727
223,FRA,1984,13.0,44.0,0.22807017543859648
224,FRA,1988,27.0,88.0,0.23478260869565218
225,FRA,1992,61.0,123.0,0.33152173913043476
226,FRA,1994,63.0,106.0,0.3727810650887574
227,FRA,1998,54.0,105.0,0.33962264150943394
228,FRA,2002,49.0,127.0,0.2784090909090909
229,FRA,2006,69.0,90.0,0.4339622641509434
230,FRA,2010,71.0,125.0,0.3622448979591837
231,FRA,2014,74.0,127.0,0.3681592039800995
232,FRG,1968,37.0,100.0,0.27007299270072993
233,FRG,1972,34.0,88.0,0.2786885245901639
234,FRG,1976,23.0,82.0,0.21904761904761905
235,FRG,1980,31.0,87.0,0.2627118644067797
236,FRG,1984,23.0,97.0,0.19166666666666668
237,FRG,1988,40.0,115.0,0.25806451612903225
238,GBR,1924,4.0,46.0,0.08
239,GBR,1928,3.0,36.0,0.07692307692307693
240,GBR,1936,10.0,30.0,0.25
241,GBR,1948,18.0,60.0,0.23076923076923078
242,GBR,1952,16.0,19.0,0.45714285714285713
243,GBR,1956,16.0,53.0,0.2318840579710145
244,GBR,1960,12.0,27.0,0.3076923076923077
245,GBR,1964,15.0,50.0,0.23076923076923078
246,GBR,1968,18.0,46.0,0.28125
247,GBR,1972,16.0,55.0,0.22535211267605634
248,GBR,1976,17.0,53.0,0.24285714285714285
249,GBR,1980,19.0,57.0,0.25
250,GBR,1984,22.0,56.0,0.28205128205128205
251,GBR,1988,24.0,71.0,0.25263157894736843
252,GBR,1992,16.0,74.0,0.17777777777777778
253,GBR,1994,9.0,42.0,0.17647058823529413
254,GBR,1998,7.0,38.0,0.15555555555555556
255,GBR,2002,26.0,44.0,0.37142857142857144
256,GBR,2006,22.0,32.0,0.4074074074074074
257,GBR,2010,30.0,48.0,0.38461538461538464
258,GBR,2014,31.0,47.0,0.3974358974358974
259,GDR,1968,21.0,64.0,0.24705882352941178
260,GDR,1972,23.0,46.0,0.3333333333333333
261,GDR,1976,33.0,64.0,0.3402061855670103
262,GDR,1980,30.0,57.0,0.3448275862068966
263,GDR,1984,33.0,72.0,0.3142857142857143
264,GDR,1988,39.0,59.0,0.3979591836734694
265,GEO,1998,1.0,5.0,0.16666666666666666
266,GEO,2002,2.0,4.0,0.3333333333333333
267,GEO,2006,1.0,3.0,0.25
268,GEO,2010,4.0,5.0,0.4444444444444444
269,GEO,2014,3.0,4.0,0.42857142857142855
270,GER,1928,5.0,46.0,0.09803921568627451
271,GER,1936,7.0,60.0,0.1044776119402985
272,GER,1952,18.0,59.0,0.23376623376623376
273,GER,1956,21.0,69.0,0.23333333333333334
274,GER,1960,35.0,75.0,0.3181818181818182
275,GER,1964,44.0,100.0,0.3055555555555556
276,GER,1992,74.0,119.0,0.38341968911917096
277,GER,1994,62.0,122.0,0.33695652173913043
278,GER,1998,96.0,121.0,0.4423963133640553
279,GER,2002,121.0,138.0,0.4671814671814672
280,GER,2006,116.0,147.0,0.44106463878326996
281,GER,2010,105.0,154.0,0.40540540540540543
282,GER,2014,126.0,145.0,0.46494464944649444
283,GRE,1988,3.0,12.0,0.2
284,GRE,1992,3.0,23.0,0.11538461538461539
285,GRE,1994,2.0,13.0,0.13333333333333333
286,GRE,1998,3.0,13.0,0.1875
287,GRE,2002,6.0,11.0,0.35294117647058826
288,GRE,2006,3.0,5.0,0.375
289,GRE,2010,5.0,7.0,0.4166666666666667
290,GRE,2014,3.0,10.0,0.23076923076923078
291,GUA,1988,3.0,12.0,0.2
292,HUN,1932,2.0,2.0,0.5
293,HUN,1936,3.0,26.0,0.10344827586206896
294,HUN,1948,7.0,36.0,0.16279069767441862
295,HUN,1952,6.0,15.0,0.2857142857142857
296,HUN,1956,1.0,1.0,0.5
297,HUN,1960,1.0,3.0,0.25
298,HUN,1964,13.0,29.0,0.30952380952380953
299,HUN,1968,3.0,18.0,0.14285714285714285
300,HUN,1976,1.0,2.0,0.3333333333333333
301,HUN,1980,1.0,1.0,0.5
302,HUN,1984,3.0,13.0,0.1875
303,HUN,1988,2.0,5.0,0.2857142857142857
304,HUN,1992,27.0,35.0,0.43548387096774194
305,HUN,1994,20.0,8.0,0.7142857142857143
306,HUN,1998,14.0,10.0,0.5833333333333334
307,HUN,2002,20.0,26.0,0.43478260869565216
308,HUN,2006,14.0,18.0,0.4375
309,HUN,2010,21.0,11.0,0.65625
310,HUN,2014,22.0,15.0,0.5945945945945946
311,IND,1988,1.0,2.0,0.3333333333333333
312,IND,2006,2.0,3.0,0.4
313,IRI,2010,2.0,5.0,0.2857142857142857
314,IRI,2014,2.0,5.0,0.2857142857142857
315,IRL,2002,2.0,7.0,0.2222222222222222
316,IRL,2006,2.0,3.0,0.4
317,IRL,2010,4.0,3.0,0.5714285714285714
318,IRL,2014,2.0,6.0,0.25
319,ISL,1956,3.0,11.0,0.21428571428571427
320,ISL,1976,4.0,12.0,0.25
321,ISL,1980,2.0,10.0,0.16666666666666666
322,ISL,1984,2.0,8.0,0.2
323,ISL,1988,1.0,5.0,0.16666666666666666
324,ISL,1992,2.0,13.0,0.13333333333333333
325,ISL,1994,3.0,11.0,0.21428571428571427
326,ISL,1998,6.0,6.0,0.5
327,ISL,2002,5.0,7.0,0.4166666666666667
328,ISL,2006,4.0,8.0,0.3333333333333333
329,ISL,2010,2.0,5.0,0.2857142857142857
330,ISL,2014,5.0,6.0,0.45454545454545453
331,ISR,1998,1.0,2.0,0.3333333333333333
332,ISR,2002,5.0,2.0,0.7142857142857143
333,ISR,2006,2.0,4.0,0.3333333333333333
334,ISR,2010,1.0,3.0,0.25
335,ISR,2014,1.0,5.0,0.16666666666666666
336,ISV,1988,3.0,4.0,0.42857142857142855
337,ISV,1992,3.0,16.0,0.15789473684210525
338,ISV,1994,1.0,9.0,0.1
339,ISV,1998,1.0,8.0,0.1111111111111111
340,ISV,2002,2.0,6.0,0.25
341,ITA,1936,5.0,43.0,0.10416666666666667
342,ITA,1948,8.0,73.0,0.09876543209876543
343,ITA,1952,10.0,42.0,0.19230769230769232
344,ITA,1956,21.0,72.0,0.22580645161290322
345,ITA,1960,14.0,44.0,0.2413793103448276
346,ITA,1964,15.0,78.0,0.16129032258064516
347,ITA,1968,16.0,63.0,0.20253164556962025
